status	tier	english_word	gothic_surface	gothic_surface_gothic	script_ok	dist_1	match_1	dist_2	match_2	dist_3	match_3	dist_4	match_4	dist_5	match_5	english_sentence	gothic_sentence_roman	gothic_sentence_gothic
delete	1	afraid	faurhtei	𐍆𐌰𐌿𐍂𐌷𐍄𐌴𐌹	yes	0	faúrhtei: fear (N.), fearfulness, fright (N.)	2	faúrhts: afraid, anxious, cowardly (Adj.), fearful of, timid	2	baírhtei: brightness, clarity, clearness, manifestness	2	þaúrstei: thirst (N.)	3	waúrstwei: action (N.), execution, performance, practice (N.)	But Jesus, when he heard the message spoken, immediately said to the ruler of the synagogue, "Don't be afraid, only believe."	iþ Iesus sunsaiw gahausjands þata waurd rodiþ, qaþ du þamma swnagogafada: ni faurhtei, þatainei galaubei.	𐌹𐌸 𐌹𐌴𐍃𐌿𐍃 𐍃𐌿𐌽𐍃𐌰𐌹𐍅 𐌲𐌰𐌷𐌰𐌿𐍃𐌾𐌰𐌽𐌳𐍃 𐌸𐌰𐍄𐌰 𐍅𐌰𐌿𐍂𐌳 𐍂𐍉𐌳𐌹𐌸, 𐌵𐌰𐌸 𐌳𐌿 𐌸𐌰𐌼𐌼𐌰 𐍃𐍅𐌽𐌰𐌲𐍉𐌲𐌰𐍆𐌰𐌳𐌰: 𐌽𐌹 𐍆𐌰𐌿𐍂𐌷𐍄𐌴𐌹, 𐌸𐌰𐍄𐌰𐌹𐌽𐌴𐌹 𐌲𐌰𐌻𐌰𐌿𐌱𐌴𐌹.
delete	1	haste	sniumundo	𐍃𐌽𐌹𐌿𐌼𐌿𐌽𐌳𐍉	yes	0	sniumundō: hurriedly, quickly, speedily, with haste	1	sniumundōs: more eager	4	sniums: fast, quick, speedy	4	sniumjan: hasten, hurry (V.), rush (V.)	4	niunda: ninth	She came in immediately with haste to the king, and asked, "I want you to give me right now the head of John the Baptizer on a platter."	jah atgaggandei sunsaiw sniumundo du þamma þiudana baþ qiþandei: wiljau ei mis gibais ana mesa haubiþ Iohannis þis daupjandins.	𐌾𐌰𐌷 𐌰𐍄𐌲𐌰𐌲𐌲𐌰𐌽𐌳𐌴𐌹 𐍃𐌿𐌽𐍃𐌰𐌹𐍅 𐍃𐌽𐌹𐌿𐌼𐌿𐌽𐌳𐍉 𐌳𐌿 𐌸𐌰𐌼𐌼𐌰 𐌸𐌹𐌿𐌳𐌰𐌽𐌰 𐌱𐌰𐌸 𐌵𐌹𐌸𐌰𐌽𐌳𐌴𐌹: 𐍅𐌹𐌻𐌾𐌰𐌿 𐌴𐌹 𐌼𐌹𐍃 𐌲𐌹𐌱𐌰𐌹𐍃 𐌰𐌽𐌰 𐌼𐌴𐍃𐌰 𐌷𐌰𐌿𐌱𐌹𐌸 𐌹𐍉𐌷𐌰𐌽𐌽𐌹𐍃 𐌸𐌹𐍃 𐌳𐌰𐌿𐍀𐌾𐌰𐌽𐌳𐌹𐌽𐍃.
delete	1	woman	qens	𐌵𐌴𐌽𐍃	yes	0	qēns: wife	1	wēns: expectation, hope (N.), hopeful anticipation	1	qēþs: speakable	2	ains: a, alone, an, anyone, once (= ainamma sinþa), one, only, sin...	2	qums: advent, arrival, coming (N.), parousia, presence	and the seven took her and left no children. Last of all the woman also died.	jah nemun þo samaleiko þai sibun jah ni biliþun fraiwa. spedumista allaize gaswalt jah so qens.	𐌾𐌰𐌷 𐌽𐌴𐌼𐌿𐌽 𐌸𐍉 𐍃𐌰𐌼𐌰𐌻𐌴𐌹𐌺𐍉 𐌸𐌰𐌹 𐍃𐌹𐌱𐌿𐌽 𐌾𐌰𐌷 𐌽𐌹 𐌱𐌹𐌻𐌹𐌸𐌿𐌽 𐍆𐍂𐌰𐌹𐍅𐌰. 𐍃𐍀𐌴𐌳𐌿𐌼𐌹𐍃𐍄𐌰 𐌰𐌻𐌻𐌰𐌹𐌶𐌴 𐌲𐌰𐍃𐍅𐌰𐌻𐍄 𐌾𐌰𐌷 𐍃𐍉 𐌵𐌴𐌽𐍃.
delete	1	sycamore tree	smakkabagm	𐍃𐌼𐌰𐌺𐌺𐌰𐌱𐌰𐌲𐌼	yes	1	smakkabagms: fig-tree	4	smakka: fig (1)	5	baírabagms: bearberry tree, mulberry tree	5	swiknaba: blamelessly, innocently, sincerely	5	sahtaba: controvertibly, disputably	He ran on ahead, and climbed up into a sycamore tree to see him, for he was to pass that way.	jah biþragjands faur usstaig ana smakkabagm, ei gasehvi ina, unte is and þata munaida þairhgaggan.	𐌾𐌰𐌷 𐌱𐌹𐌸𐍂𐌰𐌲𐌾𐌰𐌽𐌳𐍃 𐍆𐌰𐌿𐍂 𐌿𐍃𐍃𐍄𐌰𐌹𐌲 𐌰𐌽𐌰 𐍃𐌼𐌰𐌺𐌺𐌰𐌱𐌰𐌲𐌼, 𐌴𐌹 𐌲𐌰𐍃𐌴𐍈𐌹 𐌹𐌽𐌰, 𐌿𐌽𐍄𐌴 𐌹𐍃 𐌰𐌽𐌳 𐌸𐌰𐍄𐌰 𐌼𐌿𐌽𐌰𐌹𐌳𐌰 𐌸𐌰𐌹𐍂𐌷𐌲𐌰𐌲𐌲𐌰𐌽.
delete	1	openly	bairhtein	𐌱𐌰𐌹𐍂𐌷𐍄𐌴𐌹𐌽	yes	1	baírhteins: apparition	1	baírhtei: brightness, clarity, clearness, manifestness	2	baírhtjan: disclose, exhibit clearly, manifest (V.), show (V.)	3	baírhts: bright, clear (Adj.), evident, manifest (Adj.)	3	baírhtaba: brightly, clearly, openly, radiantly, very plainly	so that your merciful deeds may be in secret, then your Father who sees in secret will reward you openly.	ei sijai so armahairtiþa þeina in fulhsnja, jah atta þeins saei saihviþ in fulhsnja, usgibiþ þus in bairhtein.	𐌴𐌹 𐍃𐌹𐌾𐌰𐌹 𐍃𐍉 𐌰𐍂𐌼𐌰𐌷𐌰𐌹𐍂𐍄𐌹𐌸𐌰 𐌸𐌴𐌹𐌽𐌰 𐌹𐌽 𐍆𐌿𐌻𐌷𐍃𐌽𐌾𐌰, 𐌾𐌰𐌷 𐌰𐍄𐍄𐌰 𐌸𐌴𐌹𐌽𐍃 𐍃𐌰𐌴𐌹 𐍃𐌰𐌹𐍈𐌹𐌸 𐌹𐌽 𐍆𐌿𐌻𐌷𐍃𐌽𐌾𐌰, 𐌿𐍃𐌲𐌹𐌱𐌹𐌸 𐌸𐌿𐍃 𐌹𐌽 𐌱𐌰𐌹𐍂𐌷𐍄𐌴𐌹𐌽.
delete	1	murder	maurþreiþ	𐌼𐌰𐌿𐍂𐌸𐍂𐌴𐌹𐌸	yes	3	baúrþei: burden (N.), load (N.)	3	maúrþr: homicide (N.), murder (N.)	3	maúrþrjan: kill (V.), murder (V.), slay murderously	3	maúrþrja: murderer	4	faúrþis: aforetime, before that, beforehand, earlier	"You have heard that it was said to the ancient ones, 'You shall not murder;' and 'Whoever shall murder shall be in danger of the judgment.'	hausideduþ þatei qiþan ist þaim airizam: ni maurþrjais; iþ saei maurþreiþ skula wairþiþ stauai.	𐌷𐌰𐌿𐍃𐌹𐌳𐌴𐌳𐌿𐌸 𐌸𐌰𐍄𐌴𐌹 𐌵𐌹𐌸𐌰𐌽 𐌹𐍃𐍄 𐌸𐌰𐌹𐌼 𐌰𐌹𐍂𐌹𐌶𐌰𐌼: 𐌽𐌹 𐌼𐌰𐌿𐍂𐌸𐍂𐌾𐌰𐌹𐍃; 𐌹𐌸 𐍃𐌰𐌴𐌹 𐌼𐌰𐌿𐍂𐌸𐍂𐌴𐌹𐌸 𐍃𐌺𐌿𐌻𐌰 𐍅𐌰𐌹𐍂𐌸𐌹𐌸 𐍃𐍄𐌰𐌿𐌰𐌹.
delete	2	catch	fiskon	𐍆𐌹𐍃𐌺𐍉𐌽	yes	0	fiskōn: fish (V.), go fishing	1	aiskōn: ask, ask for, beg, demand (V.), look for	2	fisks: fish (N.); lat. piscis	2	fiskja: fisher, fisherman	2	taskōn: heap (V.), pile (V.)	When he had finished speaking, he said to Simon, "Put out into the deep, and let down your nets for a catch."	biþeh þan gaandida rodjands, qaþ du Seimonau: brigg ana diupiþa, jah athahid þo natja izwara du fiskon.	𐌱𐌹𐌸𐌴𐌷 𐌸𐌰𐌽 𐌲𐌰𐌰𐌽𐌳𐌹𐌳𐌰 𐍂𐍉𐌳𐌾𐌰𐌽𐌳𐍃, 𐌵𐌰𐌸 𐌳𐌿 𐍃𐌴𐌹𐌼𐍉𐌽𐌰𐌿: 𐌱𐍂𐌹𐌲𐌲 𐌰𐌽𐌰 𐌳𐌹𐌿𐍀𐌹𐌸𐌰, 𐌾𐌰𐌷 𐌰𐍄𐌷𐌰𐌷𐌹𐌳 𐌸𐍉 𐌽𐌰𐍄𐌾𐌰 𐌹𐌶𐍅𐌰𐍂𐌰 𐌳𐌿 𐍆𐌹𐍃𐌺𐍉𐌽.
delete	2	way	iddja	𐌹𐌳𐌳𐌾𐌰	yes	0	iddja: went	2	dēdja: culprit, „doer“	2	ludja: face (N.), facial features, physiognomy	2	gudja: priest	3	bidjan: ask, ask a favour, ask for, beg, beseech, entreat, petition ...	It happened as he was on his way to Jerusalem, that he was passing along the borders of Samaria and Galilee.	jah warþ, miþþanei iddja is in Iairusalem, jah is þairhiddja þairh midja Samarian jah Galeilaian.	𐌾𐌰𐌷 𐍅𐌰𐍂𐌸, 𐌼𐌹𐌸𐌸𐌰𐌽𐌴𐌹 𐌹𐌳𐌳𐌾𐌰 𐌹𐍃 𐌹𐌽 𐌹𐌰𐌹𐍂𐌿𐍃𐌰𐌻𐌴𐌼, 𐌾𐌰𐌷 𐌹𐍃 𐌸𐌰𐌹𐍂𐌷𐌹𐌳𐌳𐌾𐌰 𐌸𐌰𐌹𐍂𐌷 𐌼𐌹𐌳𐌾𐌰 𐍃𐌰𐌼𐌰𐍂𐌹𐌰𐌽 𐌾𐌰𐌷 𐌲𐌰𐌻𐌴𐌹𐌻𐌰𐌹𐌰𐌽.
delete	2	enter	gagg	𐌲𐌰𐌲𐌲	yes	0	gagg: road, street, way	1	gagga: going person	1	gaggi: walk (N.), walking (N.)	2	atgagg: access (N.), approach (N.)	2	ga-: along with (Präf.), together (Präf.)	But you, when you pray, enter into your inner chamber, and having shut your door, pray to your Father who is in secret, and your Father who sees in secret will reward you openly.	iþ þu þan bidjais, gagg in heþjon þeina jah galukands haurdai þeinai bidei du attin þeinamma þamma in fulhsnja, jah atta þeins saei saihviþ in fulhsnja, usgibiþ þus in bairhtein.	𐌹𐌸 𐌸𐌿 𐌸𐌰𐌽 𐌱𐌹𐌳𐌾𐌰𐌹𐍃, 𐌲𐌰𐌲𐌲 𐌹𐌽 𐌷𐌴𐌸𐌾𐍉𐌽 𐌸𐌴𐌹𐌽𐌰 𐌾𐌰𐌷 𐌲𐌰𐌻𐌿𐌺𐌰𐌽𐌳𐍃 𐌷𐌰𐌿𐍂𐌳𐌰𐌹 𐌸𐌴𐌹𐌽𐌰𐌹 𐌱𐌹𐌳𐌴𐌹 𐌳𐌿 𐌰𐍄𐍄𐌹𐌽 𐌸𐌴𐌹𐌽𐌰𐌼𐌼𐌰 𐌸𐌰𐌼𐌼𐌰 𐌹𐌽 𐍆𐌿𐌻𐌷𐍃𐌽𐌾𐌰, 𐌾𐌰𐌷 𐌰𐍄𐍄𐌰 𐌸𐌴𐌹𐌽𐍃 𐍃𐌰𐌴𐌹 𐍃𐌰𐌹𐍈𐌹𐌸 𐌹𐌽 𐍆𐌿𐌻𐌷𐍃𐌽𐌾𐌰, 𐌿𐍃𐌲𐌹𐌱𐌹𐌸 𐌸𐌿𐍃 𐌹𐌽 𐌱𐌰𐌹𐍂𐌷𐍄𐌴𐌹𐌽.
delete	2	messenger (actually angel)	aggilu	𐌰𐌲𐌲𐌹𐌻𐌿	yes	1	aggilus: angel	1	Aggils: Angle	3	aggwiþa: affliction, anxiety, distress (N.), plight, trouble (N.)	3	aglō: affliction, painfulness, tribulation	3	filu: copious amount, copiously, much, very (Adv.)	As it is written in the prophets, "Behold, I send my messenger before your face, who will prepare your way before you.	swe gameliþ ist in Esaïin praufetau: sai, ik insandja aggilu meinana faura þus, saei gamanweiþ wig þeinana faura þus.	𐍃𐍅𐌴 𐌲𐌰𐌼𐌴𐌻𐌹𐌸 𐌹𐍃𐍄 𐌹𐌽 𐌴𐍃𐌰ï𐌹𐌽 𐍀𐍂𐌰𐌿𐍆𐌴𐍄𐌰𐌿: 𐍃𐌰𐌹, 𐌹𐌺 𐌹𐌽𐍃𐌰𐌽𐌳𐌾𐌰 𐌰𐌲𐌲𐌹𐌻𐌿 𐌼𐌴𐌹𐌽𐌰𐌽𐌰 𐍆𐌰𐌿𐍂𐌰 𐌸𐌿𐍃, 𐍃𐌰𐌴𐌹 𐌲𐌰𐌼𐌰𐌽𐍅𐌴𐌹𐌸 𐍅𐌹𐌲 𐌸𐌴𐌹𐌽𐌰𐌽𐌰 𐍆𐌰𐌿𐍂𐌰 𐌸𐌿𐍃.
delete	2	light	swikunþ	𐍃𐍅𐌹𐌺𐌿𐌽𐌸	yes	1	swikunþs: conspicuously known, known by its obviousness, known openly,...	2	swikns: chaste, guiltless, innocent, irreprehensible, irreproachable...	3	siuns: apparition, appearance, countenance, face (N.), seeable, see...	3	swiknei: chastity, inculpability, integrity, pureness, purity	3	swikniþa: chastity, guiltlessness, impeccability, purifiedness, purity	For there is nothing hidden, except that it should be made known; neither was anything made secret, but that it should come to light.	nih allis ist hva fulginis þatei ni gabairhtjaidau: nih warþ analaugn, ak ei swikunþ wairþai.	𐌽𐌹𐌷 𐌰𐌻𐌻𐌹𐍃 𐌹𐍃𐍄 𐍈𐌰 𐍆𐌿𐌻𐌲𐌹𐌽𐌹𐍃 𐌸𐌰𐍄𐌴𐌹 𐌽𐌹 𐌲𐌰𐌱𐌰𐌹𐍂𐌷𐍄𐌾𐌰𐌹𐌳𐌰𐌿: 𐌽𐌹𐌷 𐍅𐌰𐍂𐌸 𐌰𐌽𐌰𐌻𐌰𐌿𐌲𐌽, 𐌰𐌺 𐌴𐌹 𐍃𐍅𐌹𐌺𐌿𐌽𐌸 𐍅𐌰𐌹𐍂𐌸𐌰𐌹.
