status	alignment_id	source	tier	english_word	gothic_surface	gothic_surface_gothic	script_ok	dist_1	match_1	dist_2	match_2	dist_3	match_3	english_sentence	gothic_sentence_roman	gothic_sentence_gothic
delete	train_1159_d0	llm_diversify	1	having	habands	𐌷𐌰𐌱𐌰𐌽𐌳𐍃	yes	0	habands: having	1	hatands: enemy	2	haban: be, be; ?, consider, have, have at one’s disposal, have hold...	for he taught them with authority, and not like the scribes.	was auk laisjands ins swe waldufni habands, jah ni swaswe bokarjos.	𐍅𐌰𐍃 𐌰𐌿𐌺 𐌻𐌰𐌹𐍃𐌾𐌰𐌽𐌳𐍃 𐌹𐌽𐍃 𐍃𐍅𐌴 𐍅𐌰𐌻𐌳𐌿𐍆𐌽𐌹 𐌷𐌰𐌱𐌰𐌽𐌳𐍃, 𐌾𐌰𐌷 𐌽𐌹 𐍃𐍅𐌰𐍃𐍅𐌴 𐌱𐍉𐌺𐌰𐍂𐌾𐍉𐍃.
delete	train_0016_d0	llm_diversify	1	good news	wailamerjan	𐍅𐌰𐌹𐌻𐌰𐌼𐌴𐍂𐌾𐌰𐌽	yes	0	waílamērjan: preach the good, proclaim, spread good news of	2	wajamērjan: blaspheme, defame (V.), slander (V.), speak sacrilegiously	3	waílamēreins: evangelism, evangelizing, good news-spreading, good tidings,...	The angel answered him, "I am Gabriel, who stands in the presence of God. I was sent to speak to you, and to bring you this good news.	jah andhafjands sa aggilus qaþ du imma: ik im Gabriel sa standands in andwairþja gudis, jah insandiþs im rodjan du þus jah wailamerjan þus þata.	𐌾𐌰𐌷 𐌰𐌽𐌳𐌷𐌰𐍆𐌾𐌰𐌽𐌳𐍃 𐍃𐌰 𐌰𐌲𐌲𐌹𐌻𐌿𐍃 𐌵𐌰𐌸 𐌳𐌿 𐌹𐌼𐌼𐌰: 𐌹𐌺 𐌹𐌼 𐌲𐌰𐌱𐍂𐌹𐌴𐌻 𐍃𐌰 𐍃𐍄𐌰𐌽𐌳𐌰𐌽𐌳𐍃 𐌹𐌽 𐌰𐌽𐌳𐍅𐌰𐌹𐍂𐌸𐌾𐌰 𐌲𐌿𐌳𐌹𐍃, 𐌾𐌰𐌷 𐌹𐌽𐍃𐌰𐌽𐌳𐌹𐌸𐍃 𐌹𐌼 𐍂𐍉𐌳𐌾𐌰𐌽 𐌳𐌿 𐌸𐌿𐍃 𐌾𐌰𐌷 𐍅𐌰𐌹𐌻𐌰𐌼𐌴𐍂𐌾𐌰𐌽 𐌸𐌿𐍃 𐌸𐌰𐍄𐌰.
delete	train_0714_d0	llm_diversify	2	blade	gras	𐌲𐍂𐌰𐍃	yes	0	gras: grass (N.), green growth, green vegetable, weeds	1	grams: angry	1	þras: bold, daring (Adj.), fast (1)	For the earth bears fruit: first the blade, then the ear, then the full grain in the ear.	silbo auk airþa akran bairiþ: frumist gras, þaþroh ahs, þaþroh fulliþ kaurnis in þamma ahsa.	𐍃𐌹𐌻𐌱𐍉 𐌰𐌿𐌺 𐌰𐌹𐍂𐌸𐌰 𐌰𐌺𐍂𐌰𐌽 𐌱𐌰𐌹𐍂𐌹𐌸: 𐍆𐍂𐌿𐌼𐌹𐍃𐍄 𐌲𐍂𐌰𐍃, 𐌸𐌰𐌸𐍂𐍉𐌷 𐌰𐌷𐍃, 𐌸𐌰𐌸𐍂𐍉𐌷 𐍆𐌿𐌻𐌻𐌹𐌸 𐌺𐌰𐌿𐍂𐌽𐌹𐍃 𐌹𐌽 𐌸𐌰𐌼𐌼𐌰 𐌰𐌷𐍃𐌰.
delete	train_0902_d0	llm_diversify	2	certainly	amen	𐌰𐌼𐌴𐌽	yes	0	amen: amen	2	agan: be afraid of	2	anan: breathe	Most certainly I tell you, whoever will not receive the Kingdom of God like a little child, he will in no way enter into it."	amen, qiþa izwis: saei ni andnimiþ þiudangardja gudis swe barn, ni þauh qimiþ in izai.	𐌰𐌼𐌴𐌽, 𐌵𐌹𐌸𐌰 𐌹𐌶𐍅𐌹𐍃: 𐍃𐌰𐌴𐌹 𐌽𐌹 𐌰𐌽𐌳𐌽𐌹𐌼𐌹𐌸 𐌸𐌹𐌿𐌳𐌰𐌽𐌲𐌰𐍂𐌳𐌾𐌰 𐌲𐌿𐌳𐌹𐍃 𐍃𐍅𐌴 𐌱𐌰𐍂𐌽, 𐌽𐌹 𐌸𐌰𐌿𐌷 𐌵𐌹𐌼𐌹𐌸 𐌹𐌽 𐌹𐌶𐌰𐌹.
delete	train_1293_d0	llm_diversify	2	were	was	𐍅𐌰𐍃	yes	1	wars: alert (Adj.), on guard, preventing (Adj.), wary	1	ƕas: anyone, anything, what, who	1	bas: bare (Adj.)	Among them were Mary Magdalene, Mary the mother of James and Joses, and the mother of the sons of Zebedee.	in þaimei was Marja so Magdalene, jah Marja so Iakobis jah Iosezis aiþei, jah aiþei suniwe Zaibaidaiaus.	𐌹𐌽 𐌸𐌰𐌹𐌼𐌴𐌹 𐍅𐌰𐍃 𐌼𐌰𐍂𐌾𐌰 𐍃𐍉 𐌼𐌰𐌲𐌳𐌰𐌻𐌴𐌽𐌴, 𐌾𐌰𐌷 𐌼𐌰𐍂𐌾𐌰 𐍃𐍉 𐌹𐌰𐌺𐍉𐌱𐌹𐍃 𐌾𐌰𐌷 𐌹𐍉𐍃𐌴𐌶𐌹𐍃 𐌰𐌹𐌸𐌴𐌹, 𐌾𐌰𐌷 𐌰𐌹𐌸𐌴𐌹 𐍃𐌿𐌽𐌹𐍅𐌴 𐌶𐌰𐌹𐌱𐌰𐌹𐌳𐌰𐌹𐌰𐌿𐍃.
delete	train_0547_d0	llm_diversify	2	minas	dailos	𐌳𐌰𐌹𐌻𐍉𐍃	yes	1	dails: part (N.), portion (N.), share (N.)	2	daigs: batch of dough, dough, lump of dough, mouldable batch, mould...	2	daila: community, fragmentariness, incompleteness, partaking (N.), ...	"They said to him, 'Lord, he has ten minas!'	jah qeþun du imma: frauja, habaiþ taihun dailos.	𐌾𐌰𐌷 𐌵𐌴𐌸𐌿𐌽 𐌳𐌿 𐌹𐌼𐌼𐌰: 𐍆𐍂𐌰𐌿𐌾𐌰, 𐌷𐌰𐌱𐌰𐌹𐌸 𐍄𐌰𐌹𐌷𐌿𐌽 𐌳𐌰𐌹𐌻𐍉𐍃.
delete	train_0551_d1	llm_diversify	2	Olivet	alewjo	𐌰𐌻𐌴𐍅𐌾𐍉	yes	1	alēwja: of olives, pertaining to olives	2	alakjō: all, all inclusively, all together, to a man	2	arwjō: for naught, for no reason, gratis, in vain, without cause, w...	It happened, when he drew near to Bethsphage and Bethany, at the mountain that is called Olivet, he sent two of his disciples,	jah warþ, biþe nehva was Beþsfagein jah Beþanijin, at fairgunja þatei haitada alewjo, insandida twans siponje seinaize	𐌾𐌰𐌷 𐍅𐌰𐍂𐌸, 𐌱𐌹𐌸𐌴 𐌽𐌴𐍈𐌰 𐍅𐌰𐍃 𐌱𐌴𐌸𐍃𐍆𐌰𐌲𐌴𐌹𐌽 𐌾𐌰𐌷 𐌱𐌴𐌸𐌰𐌽𐌹𐌾𐌹𐌽, 𐌰𐍄 𐍆𐌰𐌹𐍂𐌲𐌿𐌽𐌾𐌰 𐌸𐌰𐍄𐌴𐌹 𐌷𐌰𐌹𐍄𐌰𐌳𐌰 𐌰𐌻𐌴𐍅𐌾𐍉, 𐌹𐌽𐍃𐌰𐌽𐌳𐌹𐌳𐌰 𐍄𐍅𐌰𐌽𐍃 𐍃𐌹𐍀𐍉𐌽𐌾𐌴 𐍃𐌴𐌹𐌽𐌰𐌹𐌶𐌴
delete	train_0238_o0	llm_original	2	like	wileid	𐍅𐌹𐌻𐌴𐌹𐌳	yes	2	wilþeis: undomesticated, wild	2	wiljei: willingness	3	wēreis: agreeable, agreeing (Adj.)	"As you would like people to do to you, do exactly so to them.	jah swaswe wileid ei taujaina izwis mans, jah jus taujaid im samaleiko.	𐌾𐌰𐌷 𐍃𐍅𐌰𐍃𐍅𐌴 𐍅𐌹𐌻𐌴𐌹𐌳 𐌴𐌹 𐍄𐌰𐌿𐌾𐌰𐌹𐌽𐌰 𐌹𐌶𐍅𐌹𐍃 𐌼𐌰𐌽𐍃, 𐌾𐌰𐌷 𐌾𐌿𐍃 𐍄𐌰𐌿𐌾𐌰𐌹𐌳 𐌹𐌼 𐍃𐌰𐌼𐌰𐌻𐌴𐌹𐌺𐍉.
delete	train_1149_d0	llm_diversify	2	thrown	atlagjada	𐌰𐍄𐌻𐌰𐌲𐌾𐌰𐌳𐌰	yes	2	atlagjan: deposit at, lay at, lay before, lay into, lay on, lay onto	3	aflagjan: lay aside, lay down, lay off away, put off	4	atligan: lie (V.) (2) adjacent to, lie (V.) (2) at hand	Every tree that doesn't grow good fruit is cut down, and thrown into the fire.	all bagme ni taujandane akran god usmaitada jah in fon atlagjada.	𐌰𐌻𐌻 𐌱𐌰𐌲𐌼𐌴 𐌽𐌹 𐍄𐌰𐌿𐌾𐌰𐌽𐌳𐌰𐌽𐌴 𐌰𐌺𐍂𐌰𐌽 𐌲𐍉𐌳 𐌿𐍃𐌼𐌰𐌹𐍄𐌰𐌳𐌰 𐌾𐌰𐌷 𐌹𐌽 𐍆𐍉𐌽 𐌰𐍄𐌻𐌰𐌲𐌾𐌰𐌳𐌰.
delete	train_1197_d1	llm_diversify	2	worshiped	inwait	𐌹𐌽𐍅𐌰𐌹𐍄	yes	2	idweit: disgrace (N.), ignominy, reproach (N.)	3	iowi: a god?	3	insahts: account (N.), argumentation, explication, exposition, report...	While he told these things to them, behold, a ruler came and worshiped him, saying, "My daughter has just died, but come and lay your hand on her, and she will live."	miþþanei is rodida þata du im, þaruh reiks ains qimands inwait ina, qiþands þatei dauhtar meina nu gaswalt; akei qimands atlagei handu þeina ana ija, jah libaiþ.	𐌼𐌹𐌸𐌸𐌰𐌽𐌴𐌹 𐌹𐍃 𐍂𐍉𐌳𐌹𐌳𐌰 𐌸𐌰𐍄𐌰 𐌳𐌿 𐌹𐌼, 𐌸𐌰𐍂𐌿𐌷 𐍂𐌴𐌹𐌺𐍃 𐌰𐌹𐌽𐍃 𐌵𐌹𐌼𐌰𐌽𐌳𐍃 𐌹𐌽𐍅𐌰𐌹𐍄 𐌹𐌽𐌰, 𐌵𐌹𐌸𐌰𐌽𐌳𐍃 𐌸𐌰𐍄𐌴𐌹 𐌳𐌰𐌿𐌷𐍄𐌰𐍂 𐌼𐌴𐌹𐌽𐌰 𐌽𐌿 𐌲𐌰𐍃𐍅𐌰𐌻𐍄; 𐌰𐌺𐌴𐌹 𐌵𐌹𐌼𐌰𐌽𐌳𐍃 𐌰𐍄𐌻𐌰𐌲𐌴𐌹 𐌷𐌰𐌽𐌳𐌿 𐌸𐌴𐌹𐌽𐌰 𐌰𐌽𐌰 𐌹𐌾𐌰, 𐌾𐌰𐌷 𐌻𐌹𐌱𐌰𐌹𐌸.
delete	train_0675_o0	llm_original	3	Zealot	Kananeiten	𐌺𐌰𐌽𐌰𐌽𐌴𐌹𐍄𐌴𐌽	no	4	andbeitan: castigate, censure (V.), rebuke, scold (V.), snap at, threat...	4	anahneiwan: bend down to, bow (V.) (1), stoop down to	4	anahaitan: berate, call on, call upon, invoke (V.), reprimand (V.), sco...	Andrew; Philip; Bartholomew; Matthew; Thomas; James, the son of Alphaeus; Thaddaeus; Simon the Zealot;	jah Andraian jah Filippu jah Barþaulaumaiu jah Matþaiu jah Þoman jah Iakobu þana Alfaiaus jah Þaddaiu jah Seimona þana Kananeiten	𐌾𐌰𐌷 𐌰𐌽𐌳𐍂𐌰𐌹𐌰𐌽 𐌾𐌰𐌷 𐍆𐌹𐌻𐌹𐍀𐍀𐌿 𐌾𐌰𐌷 𐌱𐌰𐍂𐌸𐌰𐌿𐌻𐌰𐌿𐌼𐌰𐌹𐌿 𐌾𐌰𐌷 𐌼𐌰𐍄𐌸𐌰𐌹𐌿 𐌾𐌰𐌷 𐌸𐍉𐌼𐌰𐌽 𐌾𐌰𐌷 𐌹𐌰𐌺𐍉𐌱𐌿 𐌸𐌰𐌽𐌰 𐌰𐌻𐍆𐌰𐌹𐌰𐌿𐍃 𐌾𐌰𐌷 𐌸𐌰𐌳𐌳𐌰𐌹𐌿 𐌾𐌰𐌷 𐍃𐌴𐌹𐌼𐍉𐌽𐌰 𐌸𐌰𐌽𐌰 𐌺𐌰𐌽𐌰𐌽𐌴𐌹𐍄𐌴𐌽
okay	train_0021_d0	llm_diversify	1	take away	afniman	𐌰𐍆𐌽𐌹𐌼𐌰𐌽	yes	0	afniman: remove (V.), take away, withdraw	1	atniman: bring into, take unto, transfer to	2	afaikan: abjure, deny, disavow, forswear, renounce (V.)	"Thus has the Lord done to me in the days in which he looked at me, to take away my reproach among men."	þatei swa mis gatawida frauja in dagam þaimei insahv afniman idweit mein in mannam.	𐌸𐌰𐍄𐌴𐌹 𐍃𐍅𐌰 𐌼𐌹𐍃 𐌲𐌰𐍄𐌰𐍅𐌹𐌳𐌰 𐍆𐍂𐌰𐌿𐌾𐌰 𐌹𐌽 𐌳𐌰𐌲𐌰𐌼 𐌸𐌰𐌹𐌼𐌴𐌹 𐌹𐌽𐍃𐌰𐍈 𐌰𐍆𐌽𐌹𐌼𐌰𐌽 𐌹𐌳𐍅𐌴𐌹𐍄 𐌼𐌴𐌹𐌽 𐌹𐌽 𐌼𐌰𐌽𐌽𐌰𐌼.
