status	alignment_id	source	reason	english_word	gothic_surface	gothic_surface_gothic	english_sentence	gothic_sentence_roman
delete	train_0015_o2	llm_original	single_word	days	dagam	𐌳𐌰𐌲𐌰𐌼	Zacharias said to the angel, "How can I be sure of this? For I am an old man, and my wife is well advanced in years."	jah qaþ Zakarias du þamma aggilau: bihve kunnum þata? ik raihtis im sineigs, jah qens meina framaldrozei in dagam seinaim.
delete	train_0062_d0	llm_diversify	single_word	swore	swor	𐍃𐍅𐍉𐍂	the oath which he spoke to Abraham, our father,	aiþis þanei swor wiþra Abraham attan unsarana, ei gebi unsis
delete	train_0155_o0	llm_original	single_word	blind	blindaim	𐌱𐌻𐌹𐌽𐌳𐌰𐌹𐌼	and to proclaim the acceptable year of the Lord."	merjan frahunþanaim fralet jah blindaim siun, fraletan gamaidans in gaþrafstein, merjan jer fraujins andanem.
delete	train_0155_o1	llm_original	single_word	sight	siun	𐍃𐌹𐌿𐌽	and to proclaim the acceptable year of the Lord."	merjan frahunþanaim fralet jah blindaim siun, fraletan gamaidans in gaþrafstein, merjan jer fraujins andanem.
delete	train_0193_d0	llm_diversify	single_word	paralytic	usliþin	𐌿𐍃𐌻𐌹𐌸𐌹𐌽	Seeing their faith, he said to him, "Man, your sins are forgiven you."	jah gasaihvands galaubein ize qaþ du þamma usliþin: manna, afleitanda þus frawaurhteis þeinos.
delete	train_0253_o1	llm_original	single_word	flood	flodus	𐍆𐌻𐍉𐌳𐌿𐍃	But he who hears, and doesn't do, is like a man who built a house on the earth without a foundation, against which the stream broke, and immediately it fell, and the ruin of that house was great."	iþ sa hausjands jah ni taujands galeiks ist mann timrjandin razn ana airþai inuh grunduwaddju, þatei bistagq flodus, jah suns gadraus, jah warþ so uswalteins þis raznis mikila.
delete	train_0254_o0	llm_original	single_word	words	waurda	𐍅𐌰𐌿𐍂𐌳𐌰	After he had finished speaking in the hearing of the people, he entered into Capernaum.	Biþe þan usfullida alla þo waurda seina in hliumans manageins, galaiþ in Kafarnaum.
okay	train_0255_o0	llm_original	single_word	centurion's	hundafade	𐌷𐌿𐌽𐌳𐌰𐍆𐌰𐌳𐌴	A certain centurion's servant, who was dear to him, was sick and at the point of death.	hundafade þan sumis skalks siukands swultawairþja was, saei was imma swers.
delete	train_0321_o1	llm_original	single_word	fear	agisa	𐌰𐌲𐌹𐍃𐌰	All the people of the surrounding country of the Gadarenes asked him to depart from them, for they were very much afraid. He entered into the boat, and returned.	jah bedun ina allai gaujans þize Gaddarene galeiþan fairra sis, unte agisa mikilamma dishabaidai wesun. iþ is galeiþands in skip gawandida sik.
okay	train_0339_o1	llm_original	single_word	prophets	praufetus	𐍀𐍂𐌰𐌿𐍆𐌴𐍄𐌿𐍃	and by some that Elijah had appeared, and by others that one of the old prophets had risen again.	sumai þan qeþun þatei Helias ataugida sik; sumaiuþþan þatei praufetus sums þize airizane usstoþ.
